,Unnamed: 0,conflict_id,start_year,end_year,duration,best,avg_deaths,HR_before,HR_after,HR_rel_change,CV_global_homicides,CV_pop
count,411.0,411.0,411.0,411.0,411.0,411.0,411.0,190.0,210.0,140.0,244.0,410.0
mean,217.92457420924575,1970.243309002433,2000.367396593674,2004.4257907542578,5.0583941605839415,1647.7956204379561,361.13925250063943,5.479226194319825,6.184033344492381,0.8506270076347853,6.106161385504098,123016526.56341463
std,127.26418327972267,4251.780641517525,11.342078262086956,10.10704736237927,7.083921771087867,6273.341956213651,1583.2624065647271,5.116833516093115,10.412655509227463,0.3387849594051143,0.39590458644370785,293764984.0338984
min,0.0,205.0,1965.0,1989.0,1.0,1.0,0.0357142857142857,0.483729133,0.009189522,0.0038358522785031,5.564134104,369517.0
25%,107.5,314.0,1992.0,1995.0,1.0,30.5,25.0,2.4685804525500004,2.3956923606,0.6260039999287705,5.906905873,8268024.25
50%,217.0,375.0,1998.0,2003.0,2.0,102.0,57.0,4.59967981525,3.843034922,0.8341582729300074,6.032025006,25971537.0
75%,327.5,415.0,2011.0,2015.0,5.0,464.5,161.66666666666669,6.397755729100001,6.617458017400001,1.0208820515600454,6.178188546,66218671.5
max,437.0,15283.0,2020.0,2020.0,36.0,78429.0,26143.0,40.62336013,133.01571476666666,1.7747206898927228,6.943723418,1380004385.0
