country,conflict_id,start_year,end_year,duration,best,avg_deaths,HR_before,HR_after,HR_rel_change,CV_global_homicides,CV_pop,IV_deaths_cat
Afghanistan,395,1992,1998,7,350,3.912023005428146,,,,,16.798044616996485,medium
Afghanistan,418,2001,2017,17,2576,5.0207797431680286,,6.655561152,,5.906905873,17.40722115850949,medium
Afghanistan,418,2019,2019,1,37,3.6109179126442243,7.417261957750001,,,5.564134104,17.454194982797745,medium
Afghanistan,13692,2001,2001,1,1397,7.242082359256962,,,,6.943723418,16.888527523977356,high
Albania,412,1998,1999,2,6,1.0986122886681098,13.934203285999999,5.5336330844,0.3971259045689224,,14.949740280894735,low
Algeria,386,1991,2018,28,18821,6.51052403651536,,1.324465069,,5.774733653,17.55860389364597,medium
Algeria,386,2020,2020,1,26,3.258096538021482,1.3452735015,,,5.605310066,17.59630906213243,medium
Algeria,13721,2015,2015,1,26,3.258096538021482,1.1219291236,1.324465069,1.180524724012967,5.911968893,17.497567290153235,medium
Angola,327,1975,1995,21,24320,7.0545318983566805,,,,,16.45064627954521,high
Angola,327,1998,2002,5,5844,7.06373286043649,,,,6.906000623,16.678820423742668,high
Angola,387,1991,1992,2,50,3.2188758248682006,,,,,16.35374950113446,medium
Angola,387,1994,1998,5,180,3.58351893845611,,,,,16.547251243678044,medium
Angola,387,2002,2004,3,106,3.5648268054439574,,,,6.504204151,16.747138242885033,medium
Angola,387,2007,2007,1,25,3.2188758248682006,,4.6014303455,,6.012406023,16.85551614338511,medium
Angola,387,2009,2009,1,25,3.2188758248682006,,4.6014303455,,6.066836418,16.929660110444303,medium
Angola,387,2016,2017,2,50,3.2188758248682006,4.6014303455,,,5.906905873,17.210581511329966,medium
Angola,387,2019,2020,2,46,3.1354942159291497,,,,5.605310066,17.30795740101374,low
Armenia,388,1991,1994,4,152,3.6375861597263857,5.030857812,3.2601200794,0.6480246910623679,,15.004470430069082,medium
Armenia,388,2005,2005,1,1,0.0,2.7223516285,2.7874076569999997,1.0238969969268243,6.293981484,14.90785725876792,low
Armenia,388,2012,2012,1,9,2.1972245773362196,2.7469666185999997,2.5100327188,0.9137470771593308,6.113175523,14.874771644965847,low
Armenia,388,2014,2017,4,13,1.1786549963416462,2.4401936714000003,1.9722885636666667,0.808250831392049,5.906905873,14.895547725641983,low
Azerbaijan,388,1991,1994,4,4728,7.074963197966044,4.542468491,4.176353483,0.9194017506724846,,15.843204754822839,high
Azerbaijan,388,1997,1998,2,63,3.449987545831587,6.2273018294,2.75192268275,0.44191252618554183,,15.884017534591331,medium
Azerbaijan,388,2005,2005,1,24,3.1780538303479458,2.6676731950000003,2.2078167173333334,0.8276188858033389,6.293981484,15.942771554732653,low
Azerbaijan,388,2008,2008,1,30,3.4011973816621555,2.166378561,2.2806596475000003,1.052752131394454,6.010090245,15.986094515464323,medium
Azerbaijan,388,2012,2012,1,16,2.772588722239781,2.23259993625,2.1229165815999997,0.9508719171450705,6.113175523,16.04507152200353,low
Azerbaijan,388,2014,2017,4,282,4.255612709818223,2.2806596475000003,1.9734806836666667,0.8653113522791289,5.906905873,16.10339137097429,medium
Azerbaijan,396,1993,1993,1,60,4.0943445622221,5.6475411079999995,4.8742719946,0.8630786215429882,,15.829720004706495,medium
Azerbaijan,396,1995,1995,1,44,3.784189633918261,5.9482993506,3.593327174,0.6040931974342455,,15.854761416221729,medium
Bangladesh,223,2016,2020,5,2,-0.916290731874155,2.7521301846000004,,,5.605310066,18.91957173041068,low
Bangladesh,322,1975,1991,17,96,1.7311348474116202,,,,,18.475160643217258,low
