Column1;cc_iv;homicides
223;Lebanon;Lebanon
224;Lebanon;Lebanon
225;Lebanon;Lebanon
226;Lebanon;Lebanon
227;Lebanon;Lebanon
228;Lebanon;Lebanon
229;Lebanon;Lebanon
230;Lesotho;Lesotho
231;Liberia;Liberia
232;Liberia;Liberia
233;Liberia;Liberia
234;Liberia;Liberia
235;Libya;Libya
236;Libya;Libya
237;Libya;Libya
238;Libya;Libya
239;Libya;Libya
240;Macedonia, FYR;North Macedonia
241;Malaysia;Malaysia
242;Malaysia;Malaysia
243;Mali;Mali
244;Mali;Mali
245;Mali;Mali
246;Mali;Mali
247;Mali;Mali
248;Mali;Mali
249;Mali;Mali
250;Mali;Mali
251;Mali;Mali
252;Malta;Malta
253;Mauritania;Mauritania
254;Mexico;Mexico
255;Mexico;Mexico
256;Moldova;Moldova
257;Morocco;Morocco
258;Mozambique;Mozambique
259;Mozambique;Mozambique
260;Mozambique;Mozambique
261;Mozambique;Mozambique
262;Myanmar (Burma);Myanmar
263;Myanmar (Burma);Myanmar
264;Myanmar (Burma);Myanmar
265;Myanmar (Burma);Myanmar
266;Myanmar (Burma);Myanmar
267;Myanmar (Burma);Myanmar
268;Myanmar (Burma);Myanmar
269;Myanmar (Burma);Myanmar
270;Myanmar (Burma);Myanmar
271;Myanmar (Burma);Myanmar
272;Myanmar (Burma);Myanmar
273;Myanmar (Burma);Myanmar
274;Myanmar (Burma);Myanmar
275;Myanmar (Burma);Myanmar
276;Myanmar (Burma);Myanmar
277;Myanmar (Burma);Myanmar
278;Myanmar (Burma);Myanmar
279;Myanmar (Burma);Myanmar
280;Myanmar (Burma);Myanmar
281;Myanmar (Burma);Myanmar
282;Myanmar (Burma);Myanmar
283;Myanmar (Burma);Myanmar
284;Myanmar (Burma);Myanmar
285;Myanmar (Burma);Myanmar
286;Myanmar (Burma);Myanmar
287;Myanmar (Burma);Myanmar
288;Myanmar (Burma);Myanmar
289;Myanmar (Burma);Myanmar
290;Myanmar (Burma);Myanmar
291;Myanmar (Burma);Myanmar
292;Myanmar (Burma);Myanmar
293;Namibia;Namibia
294;Nepal;Nepal
295;Netherlands;Netherlands
296;Nicaragua;Nicaragua
297;Niger;Niger
298;Niger;Niger
299;Niger;Niger
300;Niger;Niger
301;Niger;Niger
302;Niger;Niger
303;Nigeria;Nigeria
304;Nigeria;Nigeria
305;Nigeria;Nigeria
306;Nigeria;Nigeria
307;Pakistan;Pakistan
308;Pakistan;Pakistan
309;Pakistan;Pakistan
310;Pakistan;Pakistan
311;Pakistan;Pakistan
312;Pakistan;Pakistan
313;Pakistan;Pakistan
314;Pakistan;Pakistan
315;Pakistan;Pakistan
316;Pakistan;Pakistan
317;Pakistan;Pakistan
318;Pakistan;Pakistan
319;Pakistan;Pakistan
320;Panama;Panama
321;Panama;Panama
322;Papua New Guinea;Papua New Guinea
323;Papua New Guinea;Papua New Guinea
324;Paraguay;Paraguay
325;Peru;Peru
326;Peru;Peru
327;Peru;Peru
328;Philippines;Philippines
329;Philippines;Philippines
330;Philippines;Philippines
331;Philippines;Philippines
332;Philippines;Philippines
333;Philippines;Philippines
334;Qatar;Qatar
335;Romania;Romania
336;Russia (Soviet Union);Russian Federation
337;Russia (Soviet Union);Russian Federation
338;Russia (Soviet Union);Russian Federation
339;Russia (Soviet Union);Russian Federation
340;Russia (Soviet Union);Russian Federation
341;Russia (Soviet Union);Russian Federation
342;Russia (Soviet Union);Russian Federation
343;Russia (Soviet Union);Russian Federation
344;Russia (Soviet Union);Russian Federation
345;Rwanda;Rwanda
346;Rwanda;Rwanda
347;Rwanda;Rwanda
348;Rwanda;Rwanda
349;Rwanda;Rwanda
350;Saudi Arabia;Saudi Arabia
351;Saudi Arabia;Saudi Arabia
352;Senegal;Senegal
353;Senegal;Senegal
354;Senegal;Senegal
355;Senegal;Senegal
356;Senegal;Senegal
357;Senegal;Senegal
358;Senegal;Senegal
359;Serbia (Yugoslavia);Serbia
360;Serbia (Yugoslavia);Serbia
361;Serbia (Yugoslavia);Serbia
362;Serbia (Yugoslavia);Serbia
363;Serbia (Yugoslavia);Serbia
364;Serbia (Yugoslavia);Serbia
365;Sierra Leone;Sierra Leone
366;Sierra Leone;Sierra Leone
367;Solomon Islands;Solomon Islands
368;Somalia;Somalia
369;Somalia;Somalia
370;Somalia;Somalia
371;Somalia;Somalia
372;Somalia;Somalia
373;Somalia;Somalia
374;South Sudan;South Sudan
375;South Sudan;South Sudan
376;South Sudan;South Sudan
377;Spain;Spain
378;Sri Lanka;Sri Lanka
379;Sri Lanka;Sri Lanka
380;Sri Lanka;Sri Lanka
381;Sri Lanka;Sri Lanka
382;Sudan;Sudan
383;Sudan;Sudan
384;Sudan;Sudan
385;Sudan;Sudan
386;Sudan;Sudan
387;Sudan;Sudan
388;Syria;Syrian Arab Republic
389;Syria;Syrian Arab Republic
390;Syria;Syrian Arab Republic
391;Syria;Syrian Arab Republic
392;Syria;Syrian Arab Republic
393;Syria;Syrian Arab Republic
394;Syria;Syrian Arab Republic
395;Syria;Syrian Arab Republic
396;Syria;Syrian Arab Republic
397;Tajikistan;Tajikistan
398;Tajikistan;Tajikistan
399;Tajikistan;Tajikistan
400;Tajikistan;Tajikistan
401;Tanzania;Tanzania
402;Thailand;Thailand
403;Thailand;Thailand
404;Thailand;Thailand
405;Thailand;Thailand
406;Thailand;Thailand
407;Thailand;Thailand
408;Trinidad and Tobago;Trinidad and Tobago
409;Tunisia;Tunisia
410;Tunisia;Tunisia
411;Turkey;Turkiye
412;Turkey;Turkiye
413;Turkey;Turkiye
414;Turkey;Turkiye
415;Turkey;Turkiye
416;Turkey;Turkiye
417;Turkey;Turkiye
418;Turkey;Turkiye
419;Uganda;Uganda
420;Uganda;Uganda
421;Uganda;Uganda
422;Uganda;Uganda
423;Ukraine;Ukraine
424;Ukraine;Ukraine
425;Ukraine;Ukraine
426;United Kingdom;United Kingdom
427;United Kingdom;United Kingdom
428;United States of America;United States
429;Uzbekistan;Uzbekistan
430;Uzbekistan;Uzbekistan
431;Venezuela;Venezuela, RB
432;Venezuela;Venezuela, RB
433;Yemen (North Yemen);Yemen, Rep.
434;Yemen (North Yemen);Yemen, Rep.
435;Yemen (North Yemen);Yemen, Rep.
436;Yemen (North Yemen);Yemen, Rep.
437;Yemen (North Yemen);Yemen, Rep.
