,country,conflict_id,start_year,end_year,duration,best,avg_deaths,HR_before,HR_after,HR_rel_change,CV_global_homicides,CV_pop
161,India,365,1994,2010,17,1105,65.0,5.2853500425,3.6370137592,0.6881311038917816,"6,04961649",1234281163.0
163,India,421,1994,1994,1,36,36.0,5.2853500425,4.7526159436,0.8992055219396569,,945601828.0
164,India,421,1996,1999,4,119,29.75,5.1830775074,4.2327995218,0.8166575776180721,,1038058154.0
165,India,421,2001,2004,4,257,64.25,4.701930365600001,3.843034922,0.8173313135635093,"6,504204151",1129623466.0
166,India,421,2009,2010,2,130,65.0,3.913525245,3.6370137592,0.9293446525857276,"6,04961649",1234281163.0
167,India,421,2013,2014,2,67,33.5,3.7839070714000003,3.127678628,0.8265738478727482,"6,032096376",1295600768.0
168,India,434,2008,2008,1,25,25.0,3.9449651024000003,3.7340571716,0.9465374406806057,"6,010090245",1200669762.0
169,India,11342,2012,2012,1,27,27.0,3.8004914084,3.3765961204,0.8884630321586598,"6,113175523",1265780243.0
170,India,11342,2014,2014,1,26,26.0,3.7340571716,3.127678628,0.8376086611067677,"6,032096376",1295600768.0
171,India,11475,2000,2001,2,3,1.5,4.7526159436,4.014849655400001,0.8447662725212427,"6,943723418",1075000094.0
172,India,13653,2015,2018,4,274,68.5,3.7124690259999995,2.9540664355,0.7957147695540129,"5,774733653",1352642283.0
181,"Iran, Islamic Rep.",205,2016,2016,1,22,22.0,2.5812707185,2.194371056,0.8501127139718104,"5,947845376",79563991.0
189,"Iran, Islamic Rep.",14268,2017,2017,1,27,27.0,2.5812707185,2.194371056,0.8501127139718104,"5,906905873",80673888.0
190,Iraq,205,1993,1993,1,11,11.0,6.947431332666667,6.484351474,0.9333451693881053,,18955087.0
197,Iraq,338,1991,1991,1,1,1.0,6.705278277,6.657921723,0.9929374215291796,,17889457.0
198,Iraq,338,1993,1993,1,22,22.0,6.947431332666667,6.484351474,0.9333451693881053,,18955087.0
207,Israel,234,2000,2012,13,4045,311.15384615384613,2.4030700946,1.4340472048,0.5967562943846224,"6,113175523",7910500.0
208,Israel,234,2014,2014,1,2370,2370.0,1.866156185,1.400899807,0.750687331671545,"6,032096376",8215700.0
211,Israel,426,2006,2006,1,219,219.0,2.8707238696000004,1.9377552427999998,0.6750057932496314,"6,178188546",7053700.0
216,Jordan,13886,2016,2016,1,34,34.0,1.8112199818,1.2310798506666665,0.6796964825019282,"5,947845376",9554286.0
219,Kenya,413,2015,2016,2,1,0.5,5.0328433404999995,4.07348155075,0.8093797631192134,"5,947845376",49051531.0
221,Kyrgyz Republic,415,1999,2000,2,188,94.0,10.6436834502,8.475707348,0.7963133615967072,"6,854248582",4898400.0
228,Lebanon,13675,2014,2015,2,202,101.0,3.4055137095999997,2.8289870901999996,0.8307078847532471,"5,911968893",6532681.0
229,Lebanon,13675,2017,2017,1,70,70.0,3.6727600445999995,2.3458544086666664,0.6387170357387597,"5,906905873",6819373.0
240,North Macedonia,417,2001,2001,1,72,72.0,2.190837772,2.73724338225,1.2494048702434002,"6,943723418",2034882.0
254,Mexico,400,1994,1994,1,145,145.0,18.0279902125,14.741932151999999,0.8177246591679664,,90156396.0
255,Mexico,400,1996,1996,1,37,37.0,17.889392268,12.443294378,0.6955683117451779,,93147045.0
256,Moldova,394,1992,1992,1,585,585.0,6.6356965025,9.248064578200001,1.3936840804451787,,2977130.0
263,Myanmar,221,1994,1995,2,135,67.5,4.949777899,2.228182211,0.45015801849415465,,43901598.0
264,Myanmar,221,1997,1998,2,77,38.5,3.67412594,1.86524843175,0.5076713379482033,,45611220.0
265,Myanmar,221,2000,2011,12,1073,89.41666666666667,3.67412594,2.3956923606,0.6520441595423373,"6,083969712",50990612.0
266,Myanmar,221,2013,2013,1,41,41.0,1.9556972714,2.2659629503333334,1.15864708892866,"6,032025006",51852464.0
268,Myanmar,222,1994,1994,1,25,25.0,4.949777899,3.67412594,0.7422809699688305,,43383421.0
269,Myanmar,222,2013,2015,3,172,57.333333333333336,1.9556972714,1.1338204239999998,0.5797525213032313,"5,911968893",52680724.0
270,Myanmar,222,2017,2019,3,141,47.0,2.3956923606,0.009189522,0.0038358522785031084,"5,564134104",54045422.0
271,Myanmar,223,1991,1991,1,25,25.0,4.949777899,3.67412594,0.7422809699688305,,41890192.0
272,Myanmar,223,1994,1994,1,109,109.0,4.949777899,3.67412594,0.7422809699688305,,43383421.0
275,Myanmar,224,1996,1996,1,80,80.0,3.67412594,2.083913966,0.5671863186050721,,44452203.0
277,Myanmar,231,2011,2019,9,1391,154.55555555555554,1.6003813411999999,0.009189522,0.00574208269205982,"5,564134104",54045422.0
278,Myanmar,253,1992,1992,1,404,404.0,4.949777899,3.67412594,0.7422809699688305,,42401686.0
279,Myanmar,253,1996,1996,1,124,124.0,3.67412594,2.083913966,0.5671863186050721,,44452203.0
280,Myanmar,253,2005,2005,1,32,32.0,1.798183639,1.6003813411999999,0.8899988335396037,"6,293981484",48949931.0
281,Myanmar,264,1993,2002,10,1402,140.2,4.949777899,1.5166260056,0.30640283999538703,"6,906000623",47702163.0
282,Myanmar,264,2005,2011,7,393,56.142857142857146,1.798183639,2.3956923606,1.3322845946547954,"6,083969712",50990612.0
283,Myanmar,264,2013,2013,1,83,83.0,1.9556972714,2.2659629503333334,1.15864708892866,"6,032025006",51852464.0
284,Myanmar,264,2015,2015,1,77,77.0,2.2370477533999997,1.1338204239999998,0.5068378277918973,"5,911968893",52680724.0
285,Myanmar,422,1997,1997,1,130,130.0,3.67412594,1.9580831683333333,0.5329385002881347,,45027223.0
286,Myanmar,439,2009,2009,1,78,78.0,1.5161230140000002,2.2370477533999997,1.4755054390329303,"6,066836418",50250366.0
287,Myanmar,439,2014,2015,2,371,185.5,2.116360067,1.1338204239999998,0.5357407946215986,"5,911968893",52680724.0
288,Myanmar,439,2017,2017,1,35,35.0,2.3956923606,0.009189522,0.0038358522785031084,"5,906905873",53382521.0
289,Myanmar,11475,1991,1991,1,150,150.0,4.949777899,3.67412594,0.7422809699688305,,41890192.0
290,Myanmar,11475,1995,1995,1,33,33.0,4.949777899,2.228182211,0.45015801849415465,,43901598.0
291,Myanmar,11475,2000,2001,2,102,51.0,3.67412594,1.5560249210000001,0.4235088688876027,"6,943723418",47225119.0
292,Myanmar,11475,2005,2007,3,345,115.0,1.798183639,1.9556972714,1.0875959657199397,"6,012406023",49621479.0
